0,0
1,944
2,240
3,320
4,320
5,320
6,320
7,320
8,16
9,16
10,16
11,16
12,16
13,16
14,16
15,16
16,16
17,16
18,16
19,16
20,16
21,16
22,16
23,16
24,16
25,16
26,2048
27,112
28,2048
29,2048
30,2048
31,2048
32,2048
33,2048
34,2048
35,2048
36,2048
37,1664
38,2048
39,2048
40,2048
41,2048
42,2048
43,1712
44,1728
45,928
46,176
47,320
48,24
49,128
50,128
51,1056
52,672
53,2048
54,128
55,-240
56,-464
57,-416
58,-400
59,-528
60,2
61,2048
62,672
63,768
64,-208
65,-160
66,-160
67,-64
68,-96
69,1488
70,176
71,-144
72,-112
73,-144
74,-144
75,-96
76,480
77,224
78,432
79,-384
80,-384
81,-256
82,-400
83,880
84,408
85,-672
86,-560
87,-512
88,-512
89,-576
90,880
91,144
92,-304
93,-176
94,-208
95,-192
96,-256
97,1632
98,1824
99,-144
100,-192
101,-208
102,-192
103,-240
104,976
105,2048
106,-256
107,-416
108,-400
109,-400
110,-384
111,-48
112,1456
113,656
114,-320
115,-304
116,-144
117,656
118,2048
119,-304
120,-128
121,-112
122,-80
123,-80
124,1344
125,2048
126,-528
127,-528
128,-528
129,2
130,-352
131,-400
132,400
133,480
134,368
135,368
136,384
137,384
138,384
139,384
140,368
141,384
142,368
